descricao
"ASP 35 x 50 cm ""Cavalos"" ass. Fang 1976"
"AST 40 x 50 cm ""Frutas"" ass. Ana Goldberger 2006"
Poster de deusa 67 x 29 cm
"Litografia 70 x 50 cm ""Menino"" Ivald Granato "
"Gravura 67 x 54 cm ""Offses Corluz"" H. Fiaminghi 114/170"
"Gravura 57 x 38 cm ""Ricolestion"" ass. V. Amano 30/50 1968"
"G.S.P. 44 x 58 cm ""Cangaceiros"" ass. Jacob 1968"
"Gravura 50 x 70 cm ""Pássaros"" ass. não identificada 57/90 - Granato ou Aguilar"
"O.S.T. 50 x 60 cm ""Paisagem"" ass. Jeny 1971"
"O.S.T. 65 x 53 cm ""Homem"" ass. Sérgio Migliaccio"
"O.S.T. 69 x 58 cm ""Garrafão e Legumes"" ass. A Scapini"
"Gravura 24/50 53 x 40 cm ""Figuras"" ass. Darel Valença Lins "
"G.S.P. 40 x 55 cm ""Casarios"" ass. não identificada"
"T.M. 66 x 47 cm ""Igreja"" Nick Carcinelli 1956"
"Gravura 64/180 70 x 52 cm ""Tocando Estrelas"" ass. Adélio Sarro"
"Gravura 8/100 50 x 70 cm ""Sonho Moral"" Maria Bonomi 1983"
"Gravura 12/100 44 x 65 cm ""Sem Título"" Fayga Ostrover 1980"
"A.S.P. 48x 69 cm ""Nu"" ass. Mabel Venzon"
"O.S.T. 67 x 64 cm ""Figuras Religiosas"" Cusquenho ???"
"O.S.T. 78 x 60 cm ""Briga de Cavalo"" ass. Enrique Eguren"
"A.S.T. 80 x 60 cm ""Baiana com Fruta"" ass. Romaria Di Martino 1998"
"Gravura 65/180 54 x 71 cm ""Tocando Estrelas"" ass. Adélio Sarro"
"Gravura 66/180 54 x 71 cm ""Tocando Estrelas"" ass. Adélio Sarro"
"Gravura 8/18 50 x 70 cm ""Sem Título"" Silvio Oppenheir 1992"
"Adesivo Automotivo, cola, gel s/ policarbonato - 72 x 62 cm ""Estudo de Rádios II"" Fernando Conlek 2013 "
"O.S.T. 80 x 50 cm ""Flores"" Emile Tuchbam"
"O.S.T. 59 x 79 cm ""Natureza Morta"" ass. Waldomiro Sant'Ana "
"O.S.T. 80 x 100 cm ""Feira Árabe"" ass. Heitor"
"O.S.T. 90 x 70 cm ""Muro Lamentações"" ass. Ivo Blasi 2000"
"O.S.T. 86 x 69 cm ""Menina com Ursos"" ass. Roberto de Souza 2007"
"O.S.T. 60 x 80 cm ""Nu"" Francisco Gallotti"
"T.M. 80 x 100 cm ""Conversando"" ass. Luciano Lo Ré "
"O.S.T. 81 x 65 cm ""Família"" ass. Edir M Escarião"
"A.S.P. 50 x 70 cm ""Floresta"" ass. Fang"
"Gravura 56/75 - 55 x 78 cm ""Abstrato"" ass. Cilan"
"Gravura 25/35 - 79 x 49 cm ""VA"" Kazumi Amand 1968"
"Gravura 63/75 - 60 x 85 cm ""I"" Cilan ???"
"Gravura 75/140 - 58 x 68 cm ""Os nos do Bambi"" Burle Marx"
"Gravura 52/190 - 59 x 72 cm ""Sem Título"" ass. não sei"
"Gravura 25/150 - 69 x 80 cm ""Chanesi Partins"" Elois Genine 1956"
"Gravura 51/200 - 98 x 75 cm ""Mulheres"" ass. Cícero Dias"
"Serigrafia 94 x 63 cm ""France"" Sugai 1970"
"A.S.P. 65 x 93 cm ""Niy"" ass. Celina Valverde 1982"
"O.S.M. 81 x 102 cm ""Solidão"" ass. Carlos Adessi"
"T.M. 50 x 70 cm ""Natureza Morta"" Asfadouroff Nibles "
"O.S.T. 60 x 50 cm ""O Soldado"" ass. Waldir Castro 1982"
"O.S.M. 56 x 60 cm ""Sem Título"" HK. 1956"
"O.S.T. 47 x 61 cm ""Paisagem Surreal"" ass. Walter Levy "
"Gravura 93/98 - 63 x 41 cm ""Boneco"" Ivald Granato 1987"
